ID,STATION,Station_Longitude,Station_Latitude,dENTRIES,,,,,,,,Net
119,Park Ave & St Edwards St,-73.978,40.6961,"376	",,119,Park Ave & St Edwards St,-73.978,40.6961,"377	",,#VALUE!
147,Greenwich St & Warren St,-74.0112,40.7154,"9371	",,147,Greenwich St & Warren St,-74.0112,40.7154,"8904	",,
161,LaGuardia Pl & W 3 St,-73.9981,40.7292,"6921	",,161,LaGuardia Pl & W 3 St,-73.9981,40.7292,"7191	",,
168,W 18 St & 6 Ave,-73.9946,40.7397,"11552	",,168,W 18 St & 6 Ave,-73.9946,40.7397,"11027	",,
2003,1 Ave & E 18 St,-73.9802,40.7342,"3960	",,2003,1 Ave & E 18 St,-73.9805,40.7338,"3813	",,
2010,Grand St & Greene St,-74.0023,40.7217,"4768	",,2010,Grand St & Greene St,-74.0023,40.7217,"4662	",,
2017,E 43 St & 2 Ave,-73.9712,40.7502,"2558	",,2017,E 43 St & 2 Ave,-73.9712,40.7502,"2724	",,
217,Old Fulton St,-73.9938,40.7028,"2671	",,217,Old Fulton St,-73.9938,40.7028,"2555	",,
224,Spruce St & Nassau St,-74.0055,40.7115,"3221	",,224,Spruce St & Nassau St,-74.0055,40.7115,"3224	",,
238,Bank St & Washington St,-74.0086,40.7362,"4662	",,238,Bank St & Washington St,-74.0086,40.7362,"4603	",,
245,Myrtle Ave & St Edwards St,-73.977,40.6933,"618	",,245,Myrtle Ave & St Edwards St,-73.977,40.6933,"755	",,
252,MacDougal St & Washington Sq,-73.9985,40.7323,"4870	",,252,MacDougal St & Washington Sq,-73.9985,40.7323,"4834	",,
259,South St & Whitehall St,-74.0123,40.7012,"3675	",,259,South St & Whitehall St,-74.0123,40.7012,"3458	",,
266,Avenue D & E 8 St,-73.9757,40.7237,"1791	",,266,Avenue D & E 8 St,-73.9757,40.7237,"1884	",,
280,E 10 St & 5 Ave,-73.9951,40.7333,"5656	",,280,E 10 St & 5 Ave,-73.9951,40.7333,"5554	",,
294,Washington Square E,-73.9957,40.7305,"6836	",,294,Washington Square E,-73.9957,40.7305,"6717	",,
301,E 2 St & Avenue B,-73.9837,40.7222,"6915	",,301,E 2 St & Avenue B,-73.9837,40.7222,"6715	",,
308,St James Pl & Oliver St,-73.9985,40.7131,"3150	",,308,St James Pl & Oliver St,-73.9985,40.7131,"2992	",,
315,South St & Gouverneur Ln,-74.0067,40.7036,"4113	",,315,South St & Gouverneur Ln,-74.0067,40.7036,"3875	",,
322,Clinton St & Tillary St,-73.9912,40.6962,"1341	",,322,Clinton St & Tillary St,-73.9912,40.6962,"1541	",,
329,Greenwich St & N Moore St,-74.0102,40.7204,"7578	",,329,Greenwich St & N Moore St,-74.0102,40.7204,"6861	",,
336,Sullivan St & Washington Sq,-73.9991,40.7305,"5125	",,336,Sullivan St & Washington Sq,-73.9991,40.7305,"5768	",,
343,Clinton Ave & Flushing Ave,-73.9699,40.6979,"858	",,343,Clinton Ave & Flushing Ave,-73.9699,40.6979,"828	",,
350,Clinton St & Grand St,-73.987,40.7156,"3807	",,350,Clinton St & Grand St,-73.987,40.7156,"3782	",,
357,E 11 St & Broadway,-73.9916,40.7326,"5197	",,357,E 11 St & Broadway,-73.9916,40.7326,"5145	",,
364,Lafayette Ave & Classon Ave,-73.9602,40.689,"1048	",,364,Lafayette Ave & Classon Ave,-73.9602,40.689,"1112	",,
385,E 55 St & 2 Ave,-73.966,40.758,"2933	",,385,E 55 St & 2 Ave,-73.966,40.758,"2964	",,
392,Jay St & Tech Pl,-73.9872,40.6951,"2271	",,392,Jay St & Tech Pl,-73.9872,40.6951,"2123	",,
399,Lafayette Ave & St James Pl,-73.9648,40.6885,"652	",,399,Lafayette Ave & St James Pl,-73.9648,40.6885,"886	",,
