376,377,376,377,ID,STATION,Station_Longitude,Station_Latitude,dENTRIES
9371,"8904	",9371,8904,119,Park Ave & St Edwards St,-73.978,40.6961,-1
"6921	","7191	",6921,7191,147,Greenwich St & Warren St,-74.0112,40.7154,467
"11552	","11027	",11552,11027,161,LaGuardia Pl & W 3 St,-73.9981,40.7292,-270
"3960	","3813	",3960,3813,168,W 18 St & 6 Ave,-73.9946,40.7397,525
"4768	","4662	",4768,4662,2003,1 Ave & E 18 St,-73.9802,40.7342,147
"2558	","2724	",2558,2724,2010,Grand St & Greene St,-74.0023,40.7217,106
"2671	","2555	",2671,2555,2017,E 43 St & 2 Ave,-73.9712,40.7502,-166
"3221	","3224	",3221,3224,217,Old Fulton St,-73.9938,40.7028,116
"4662	","4603	",4662,4603,224,Spruce St & Nassau St,-74.0055,40.7115,-3
"618	","755	",618,755,238,Bank St & Washington St,-74.0086,40.7362,59
"4870	","4834	",4870,4834,245,Myrtle Ave & St Edwards St,-73.977,40.6933,-137
"3675	","3458	",3675,3458,252,MacDougal St & Washington Sq,-73.9985,40.7323,36
"1791	","1884	",1791,1884,259,South St & Whitehall St,-74.0123,40.7012,217
"5656	","5554	",5656,5554,266,Avenue D & E 8 St,-73.9757,40.7237,-93
"6836	","6717	",6836,6717,280,E 10 St & 5 Ave,-73.9951,40.7333,102
"6915	","6715	",6915,6715,294,Washington Square E,-73.9957,40.7305,119
"3150	","2992	",3150,2992,301,E 2 St & Avenue B,-73.9837,40.7222,200
"4113	","3875	",4113,3875,308,St James Pl & Oliver St,-73.9985,40.7131,158
"1341	","1541	",1341,1541,315,South St & Gouverneur Ln,-74.0067,40.7036,238
"7578	","6861	",7578,6861,322,Clinton St & Tillary St,-73.9912,40.6962,-200
"5125	","5768	",5125,5768,329,Greenwich St & N Moore St,-74.0102,40.7204,717
"858	","828	",858,828,336,Sullivan St & Washington Sq,-73.9991,40.7305,-643
"3807	","3782	",3807,3782,343,Clinton Ave & Flushing Ave,-73.9699,40.6979,30
"5197	","5145	",5197,5145,350,Clinton St & Grand St,-73.987,40.7156,25
"1048	","1112	",1048,1112,357,E 11 St & Broadway,-73.9916,40.7326,52
"2933	","2964	",2933,2964,364,Lafayette Ave & Classon Ave,-73.9602,40.689,-64
"2271	","2123	",2271,2123,385,E 55 St & 2 Ave,-73.966,40.758,-31
"652	","886	",652,886,392,Jay St & Tech Pl,-73.9872,40.6951,148
"2199	","2228	",2199,2228,399,Lafayette Ave & St James Pl,-73.9648,40.6885,-234
"1023	","1187	",1023,1187,406,Hicks St & Montague St,-73.996,40.6951,-29
"3324	","3236	",3324,3236,420,Clermont Ave & Lafayette Ave,-73.9697,40.6876,-164
"6715	","6395	",6715,6395,427,Bus Slip & State St,-74.0139,40.7019,88
"3572	","3599	",3572,3599,434,9 Ave & W 18 St,-74.0037,40.7432,320
"6895	","6713	",6895,6713,441,E 52 St & 2 Ave,-73.9674,40.756,-27
"5132	","5052	",5132,5052,448,W 37 St & 10 Ave,-73.9979,40.7566,182
